method: GET, query param: , path params: {} received at 2023-10-03 15:18:06.221210, url: http://127.0.0.1:8000/items
method: GET, query param: , path params: {} received at 2023-10-03 15:18:18.768470, url: http://127.0.0.1:8000/items/25571408-6219-11ee-8b92-706979ad68bd
method: PUT, query param: name=choc&price=130, path params: {} received at 2023-10-03 15:18:37.463074, url: http://127.0.0.1:8000/items/update/25571408-6219-11ee-8b92-706979ad68bd?name=choc&price=130
method: POST, query param: name=pato&price=23, path params: {} received at 2023-10-03 15:19:25.330778, url: http://127.0.0.1:8000/items/create?name=pato&price=23
method: DELETE, query param: , path params: {} received at 2023-10-03 15:21:00.119123, url: http://127.0.0.1:8000/items/delete/25571408-6219-11ee-8b92-706979ad68bd
method: POST, query param: , path params: {} received at 2023-10-03 15:21:45.777022, url: http://127.0.0.1:8000/items/import
method: GET, query param: , path params: {} received at 2023-10-03 15:21:48.934971, url: http://127.0.0.1:8000/items
method: DELETE, query param: , path params: {} received at 2023-10-03 15:22:01.886206, url: http://127.0.0.1:8000/items/delete/b5bc54bb-6219-11ee-9bb2-706979ad68bd
method: POST, query param: , path params: {} received at 2023-10-03 15:23:35.804281, url: http://127.0.0.1:8000/items/import
method: GET, query param: , path params: {} received at 2023-10-03 15:23:41.294978, url: http://127.0.0.1:8000/items
method: DELETE, query param: , path params: {} received at 2023-10-03 15:23:54.513728, url: http://127.0.0.1:8000/items/delete/f750e6c0-6219-11ee-bdf9-706979ad68bd
method: DELETE, query param: , path params: {} received at 2023-10-03 15:30:21.585913, url: http://127.0.0.1:8000/items/delete/f750e6c0-6219-11ee-bdf9-706979ad68bd
method: POST, query param: , path params: {} received at 2023-10-03 15:30:37.491266, url: http://127.0.0.1:8000/items/import
method: GET, query param: , path params: {} received at 2023-10-03 15:30:40.433138, url: http://127.0.0.1:8000/items
method: GET, query param: , path params: {} received at 2023-10-03 15:31:20.006280, url: http://127.0.0.1:8000/items/25571408-6219-11ee-8b92-706979ad68bd
method: GET, query param: , path params: {} received at 2023-10-03 15:36:27.664043, url: http://127.0.0.1:8000/items/25571408-6219-11ee-8b92-706979ad68bd
method: POST, query param: , path params: {} received at 2023-10-03 15:36:31.568020, url: http://127.0.0.1:8000/items/import
method: GET, query param: , path params: {} received at 2023-10-03 15:36:34.557107, url: http://127.0.0.1:8000/items
method: PUT, query param: name=choc&price=130, path params: {} received at 2023-10-03 15:36:48.866326, url: http://127.0.0.1:8000/items/update/c5b60c28-621b-11ee-bd2d-706979ad68bd?name=choc&price=130
method: GET, query param: , path params: {} received at 2023-10-03 15:36:57.557594, url: http://127.0.0.1:8000/items/c5b60c28-621b-11ee-bd2d-706979ad68bd
method: POST, query param: name=chocolate&price=2300, path params: {} received at 2023-10-03 15:37:20.211092, url: http://127.0.0.1:8000/items/create?name=chocolate&price=2300
method: POST, query param: , path params: {} received at 2023-10-03 15:39:29.550558, url: http://127.0.0.1:8000/items/import
method: GET, query param: , path params: {} received at 2023-10-03 15:39:33.707601, url: http://127.0.0.1:8000/items
method: DELETE, query param: , path params: {} received at 2023-10-03 15:39:48.450956, url: http://127.0.0.1:8000/items/delete/2fcb4afa-621c-11ee-b9c0-706979ad68bd
method: GET, query param: , path params: {} received at 2023-10-03 15:41:43.006318, url: http://127.0.0.1:8000/items
method: POST, query param: , path params: {} received at 2023-10-03 15:41:50.177454, url: http://127.0.0.1:8000/items/import
method: GET, query param: , path params: {} received at 2023-10-03 15:41:52.558338, url: http://127.0.0.1:8000/items
method: DELETE, query param: , path params: {} received at 2023-10-03 15:42:06.320089, url: http://127.0.0.1:8000/items/delete/839cfece-621c-11ee-8819-706979ad68bd
method: GET, query param: , path params: {} received at 2023-10-03 15:42:09.096489, url: http://127.0.0.1:8000/items
method: DELETE, query param: , path params: {} received at 2023-10-03 15:42:58.729988, url: http://127.0.0.1:8000/items/delete/839cfece-621c-11ee-8819-706979ad68bd
method: POST, query param: , path params: {} received at 2023-10-03 15:43:07.169876, url: http://127.0.0.1:8000/items/import
method: GET, query param: , path params: {} received at 2023-10-03 15:43:12.027782, url: http://127.0.0.1:8000/items
method: DELETE, query param: , path params: {} received at 2023-10-03 15:43:20.559843, url: http://127.0.0.1:8000/items/delete/b181d3c0-621c-11ee-ac2e-706979ad68bd
method: GET, query param: , path params: {} received at 2023-10-03 16:08:44.927810, url: http://127.0.0.1:8000/docs
method: GET, query param: , path params: {} received at 2023-10-03 16:08:45.197513, url: http://127.0.0.1:8000/openapi.json
method: POST, query param: , path params: {} received at 2023-10-03 16:08:50.915702, url: http://127.0.0.1:8000/items/import
method: GET, query param: , path params: {} received at 2023-10-03 16:08:55.425735, url: http://127.0.0.1:8000/items
method: GET, query param: , path params: {} received at 2023-10-03 16:09:33.944253, url: http://127.0.0.1:8000/docs
method: GET, query param: , path params: {} received at 2023-10-03 16:09:34.059098, url: http://127.0.0.1:8000/openapi.json
method: GET, query param: , path params: {} received at 2023-10-03 16:09:43.752901, url: http://127.0.0.1:8000/docs
method: GET, query param: , path params: {} received at 2023-10-03 16:09:43.837989, url: http://127.0.0.1:8000/openapi.json
